osID,title,ai_health_related,nlp_health_related,ai_disease_areas,nlp_disease_areas,agree_health,agree_areas,any_overlap,ai_only_areas,nlp_only_areas
OS-1,SLS-1 Effects of Space Travel on Mammalian Gravity Receptors experiment data,True,False,Eye diseases; Neurological diseases,,False,False,False,Eye diseases; Neurological diseases,
OS-10,SLS-1 Regulation of Erythropoiesis During Spaceflight experiment data,True,False,Eye diseases; Neurological diseases,,False,False,False,Eye diseases; Neurological diseases,
OS-100,Novel Double-Hit Mouse Model to Investigate Oxidative Damage from Radiation/Hyperoxia - Evaluation of Dietary Flaxseed as Countermeasure: Chronic Model (16 weeks),True,True,Cancer; Endocrine and metabolic diseases,Neurological diseases,True,False,False,Cancer; Endocrine and metabolic diseases,Neurological diseases
OS-101,Vestibular Stimulation: A Countermeasure For Bone Loss During Long-Term Space Mission Raw Data,True,True,Cancer; Eye diseases; Musculoskeletal diseases; Neurological diseases,Eye diseases; Neurological diseases,True,False,True,Cancer; Musculoskeletal diseases,
OS-102,Mesenchymal Stem Cells (MSCs) Imagery,True,False,Musculoskeletal diseases,,False,False,False,Musculoskeletal diseases,
OS-103,"Microgravity Effects on the Function of Vascular Stem Cells, Additional Data",True,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,,False,False,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,
OS-104,"Microgravity Effects on the Function of Vascular Stem Cells, Digital Images",True,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,,False,False,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,
OS-105,"Microgravity Effects on the Function of Vascular Stem Cells, Human Blood Derived Cells Study",True,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,,False,False,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,
OS-106,"Microgravity Effects on the Function of Vascular Stem Cells, Porcine Blood Derived Cell Study",True,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,,False,False,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,
OS-107,"Microgravity Effects on the Function of Vascular Stem Cells, Optimization Experiments",True,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,,False,False,False,Cancer; Cardiovascular diseases; Mental health; Musculoskeletal diseases,
OS-108,"The Effect of Microgravity on Mycobacteria, Survival Analysis data",True,False,Endocrine and metabolic diseases; Rare inherited disorders,,False,False,False,Endocrine and metabolic diseases; Rare inherited disorders,
OS-109,"The Effect of Microgravity on Mycobacteria, Bacterium Size data",True,False,Endocrine and metabolic diseases; Rare inherited disorders,,False,False,False,Endocrine and metabolic diseases; Rare inherited disorders,
OS-11,SLS-1 Regulation of Blood Volume During Spaceflight experiment data,True,False,Endocrine and metabolic diseases; Kidney diseases,,False,False,False,Endocrine and metabolic diseases; Kidney diseases,
OS-110,"The Effect of Microgravity on Mycobacteria, Growth data",True,False,Endocrine and metabolic diseases; Rare inherited disorders,,False,False,False,Endocrine and metabolic diseases; Rare inherited disorders,
OS-111,S. mutans HARV growth asssays (planktonic),True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-112,S. mutans HARV competence assays,True,False,Cardiovascular diseases; Endocrine and metabolic diseases; Neurological diseases,,False,False,False,Cardiovascular diseases; Endocrine and metabolic diseases; Neurological diseases,
OS-113,S. mutans HARV biofilm growth and microscopy,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-114,S. mutans HARV oxidative stress assays,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-115,S. mutans HARV metabolic assays,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-116,S. mutans HARV RNAseq experiment,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
OS-117,Temporal RNA Integrity Analysis of Archived Spaceflight Biological Samples from ALSDA from 1991-2016,True,False,Endocrine and metabolic diseases,,False,False,False,Endocrine and metabolic diseases,
