osID,title,objectives,approach,results,sponsoringAgency,researchAreas,nasaPrograms,factors,publications_count,publication_titles,principal_investigator,pi_institution,all_people,releaseDate,source_url,health_related,disease_areas,primary_disease_area,relevance_type,classification_source,non_health_category
OS-118,Aim 1: Determine the effects of combined mechanical loading and zoledronate on skeletal structure and bone remodeling during simulated weightlessness,,,,,,,,0,,Joshua S. Alwood,NASA Ames Research Center (ARC),Ruth Globus; Joshua S. Alwood; Eduardo Almeida,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-118,True,Musculoskeletal diseases,Musculoskeletal diseases,direct,keyword,
OS-119,Aim 2: Demonstrate whether the methylation status of key bone remodeling gene promoters are modulated in response to various levels of mechanical loading during simulated spaceflight,,,,,,,,0,,Joshua S. Alwood,NASA Ames Research Center (ARC),Ruth Globus; Joshua S. Alwood; Eduardo Almeida,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-119,True,Musculoskeletal diseases,Musculoskeletal diseases,direct,keyword,
OS-144,Effects of Weightlessness on the Embryonic Development and Aging of Drosophila,"All living organisms have evolved under the influence of Earth's gravity, and, therefore, it is generally assumed that gravity has played a role in shaping structure and function.  Previous laboratory work has documented that the aging process of Drosophila is strikingly sensitive to altered environments, such as temperature changes and rotation in a clinostat.  This study focuses on the aging process of fruit flies which developed and spent their first days of life in space.

HyperG Part I addresses Specific Aims 1 and 2 of the original proposal, which focus on detecting hypergravity-induced changes in gut microbiome, SNS function, and inflammatory activity and their effect on the communication between distinct physiological systems.  Part I was completed in the Fall of 2019. 

HyperG Part II will address Specific Aim 3, which evaluates if gravity-dependent deficits can be countered by a combination of prebiotic nutritional supplements that are known to preferentially expand stress protective bacterial species.  Part II is currently scheduled no earlier than mid-2020.","The experimental Drosophila population was exposed to weightlessness, while an equal number of flies housed in a centrifuge at approximately 1g served as inflight controls.  Synchronous and vivarium groups served as ground controls.  All flies were individually weighed in a Cahn electric balance.  Other parameters included: vitality, as expressed by negative geotaxis and mating; external morphology and age-associated degenerative changes, as demonstrated by gross photography and scanning electron microscopy; glycogen content of the thorax to estimate muscle energy reserve; and life span.","Apparently, the development of Drosophila was insensitive to weightlessness and the aging processes were not influenced, except for a slight reduction in the amount of lipofuscin present in the midgut and Malpighian tubules, the tubular glands of excretory function.  The only detrimental effect seemed to be a decrease in the negative geotaxis and mating.  It is likely that this decreased mating ability (almost half in both flight groups) was the result of injury to the wing structures (which play a crucial role in Drosophila mating), as the consequence of acceleration or other flight stresses unrelated to weightlessness.  Otherwise, the weightless flies were identical to controls in all parameters investigated.",National Aeronautics and Space Administration (NASA),Developmental biology,,,8,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Effects of Oxygen-Nitrogen (1:1) at 760 Torr on the Life Span and Fine Structure of Drosophila Melanogaster. | Effects of Temperature on the Life Span and Fine Structure of Drosophila Melanogaster | Effects of Weightlessness on the Embryonic Development and Aging of Drosophila. Final Reports of U.S. Experiments Flown on the Soviet Satellite Cosmos 782 | The Effect of Weightlessness on the Embryonic Development and Aging of Drosophila | Aging in Insects | Fluorescent Products and Lysomal Components in Aging Drosophila melanogaster | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-144,True,Kidney diseases; Musculoskeletal diseases,Kidney diseases,direct,keyword,
OS-145,Cosmic Ray Effect on the Eyes of Rats Flown on Cosmos 782,"A prediction was made in 1952 by C.A. Tobias that ""light flashes"" would be seen by dark-adapted persons in high flying aircraft and during space flight, as cosmic rays passed through and actuated the photoreceptors of the retina.  Cellular damage in the rod free area of the fovea, the area of sharpest vision, could become a severe problem by limiting vision in space travelers.  This experiment attempts to further data in the area of long-term, low-dose ocular responses.","The eyes from six rats were fixed immediately after flight and 25 days postflight, and compared to eyes exposed to 1,000 rads of neon and argon.  Sections were cut for electron microscopy for routine examination or whenever light microscopy indicated areas of interest.  The outer nuclear layer was examined for radiation changes because these nuclei control the synthesis of the outer segments.  Here, any interference in synthesis would be reflected by an alteration in morphology.  Radiation detectors were placed aboard the spacecraft to obtain the average flux and atomic number of cosmic ray particles.","Most of the flight eye tissue was normal, indicating space flight for this duration would be safe for humans.  Necrotic nuclei were found in the outer nuclear layer and channels were located in the outer segment.  Macrophages were seen between the pigment layer and the outer segment.  Analysis of the eyes fixed at 25 days postflight suggested some recovery.  Light flashes and damage from cosmic rays appear to be created by cosmic ray traversal of the outer segments while pathology, when it occurs, is quite possibly from interaction with some part of the nucleus; nevertheless, direct interaction on the cellular components could also have occurred.",National Aeronautics and Space Administration (NASA),"Radiation biology
Ocular physiological phenomena",,,4,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Prolonged Fixation Studies for Spaceflight | Cosmic Ray Effects on the Eyes of Rats Flown on Cosmos No. 782, Experiment 207 | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-145,True,Eye diseases,Eye diseases,direct,keyword,
OS-146,Absence of Gastric Ulceration in Rats After Flight on the Cosmos 782,"A variety of environmental stressors can be shown to produce gastric ulceration in rats.  Several converging lines of research have shown that endogenous histamine plays an essential role in stress-produced gastric ulceration. It has been  demonstrated, as well, that the mechanism specifically involves the H2 receptor for histamine.  Whether the actual stresses associated with a long-term space flight are sufficient to produce gastric ulceration in rats is uncertain, and the focus of this study.","Stomachs from the flight animals were compared with stomachs removed from animals in synchronous and vivarium control groups.  The stomachs were examined microscopically for gastric ulceration using the following classification: a) petechial ulcers: minute superficial erosions involving only the mucosa; b) punctate ulcers: discrete punched out ulcerations measuring at least 1 mm; and c) longitudinal ulcers: continuous linear ulcerations larger than 1 mm.  Tissue for histological examination was taken from the rumen, corpus, and antrum; hematoxylin and eosin sections were examined microscopically for evidence of superficial erosion of the mucosa.","None of the animals examined from the flight or control groups evidenced gastric ulcers or pronounced mucosal erosion, a not unexpected result.  In conjunction with other experiments, most of the animals in flight and synchronous groups were maintained on the antibiotic Declomycin.  A broad spectrum of antibiotics can result in a deficiency of pyridoxal phosphate, a required co-factor in the biosynthesis of histamine.  A histamine depletion could afford protection against experimental ulceration, as would the six-hour feeding intervals, as a minimum of 24 hours of food deprivation is usually required to produce stress ulcers in rats. Possibly, during the initial phase of the flight the animals did ulcerate, but recovered prior to return.",National Aeronautics and Space Administration (NASA),Metabolism and nutrition,,,4,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Attenuation of Salicylate and Stress-Produced Gastric Ulceration by Metiamide | Histamine H2 Receptor: Involvement in Gastric Ulceration | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-146,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,direct,keyword,
OS-147,Alterations in Erythrocyte Survival Parameters in Rats After 19.5 Days Aboard Cosmos 782,The results of the Skylab flights demonstrate that prolonged weightlessness causes a significant decrease in red cell mass of astronauts which is not related to oxygen partial pressure.  The objective of this experiment was to determine if the complex factors associated with relatively prolonged space flight interact to alter survival parameters of preformed red blood cells in rats.,"Based on the amount of exhaled carbon-14 labeled carbon monoxide, survival parameters of a cohort of erythrocytes labeled 15.5 days preflight were evaluated upon return from orbit and compared to control rats injected at the same time.  Breath samples were taken for three hours at the same time each day to minimize potential circadian fluctuations.  The 14CO generated was trapped in ethanolamine/2-Ethoxyethanol and triplicate aliquots were counted by liquid scintillation.  The obtained data points were fitted into an equation relating red blood cell survival to 14CO production, using a computer.","Statistical evaluation indicates that all survival parameters were altered by the space flight.  The mean potential red blood cell life span, which was 62.4 days in control rats, was decreased to 59.0 days in the flight rats, and random hemolysis was increased three-fold in the flight rats.  The measured size of the cohort was decreased, lending further support to the idea that hemolysis was accelerated during some portion of the flight.  Factors which might be contributory to these changes include forces associated with launch and reentry, atmospheric and environmental parameters, diet, radiation, and of course, weightlessness.",National Aeronautics and Space Administration (NASA),Hematology,,,5,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Attenuation of Hemolytic Action of Oxygen by Nitrogen | Alterations in Erythrocyte Survival Parameters in Rats After 19.5 Days Aboard Cosmos 782 | Effects of Hyperoxia on Red Blood Cell Survival in the Normal Rat | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-147,True,Mental health,Mental health,direct,keyword,
OS-148,Effects of Spaceflight on Plasma and Glandular Concentrations of Pituitary Hormones,"The important role played by hormones in regulation of metabolic parameters affected by space flight suggests that altered endocrine function may have contributed to other observed metabolic changes.  The aims of the present study were to clarify the effects of space flight on pituitary function by measuring plasma and glandular concentrations of pituitary hormones and, where feasible, evaluating the status of the appropriate target tissue.","At the conclusion of the flight all rats were weighed and inspected.  Anterior and posterior-intermediate lobes were collected, weighed, and individually frozen for assays.  Plasma and pituitary growth hormone (GH), and prolactin were immunoassayed using GH and prolactin purified in-house as standards.  Thyrotropin was assayed by a double antibody method, and luteinizing and follicle stimulating hormones by procedures employing NIAMDD (National Institute of
Arthritis, Metabolism and Digestive Diseases) rat standards.  Adrenocorticotropic hormone (ACTH) was immunoassayed using the 3rd International Standard (porcine).  Vasopressin was measured by a radioimmunoassay procedure and melanocyte stimulating hormone (MSH) by the bioassay method.","Although of modest extent, some perturbations of endocrine function were found in this investigation.  The low plasma GH titers of flight animals either reflects the unusual sampling conditions at recovery or the effects of weightlessness.  The larger adrenals of flight rats suggests they were secreting increased quantities of corticosterone over a significant part of the flight, which may have contributed to the smaller flight body weights by its protein catabolic effect.  The adrenal hypertrophy of flight rats suggests these animals were secreting more ACTH and corticosterone during flight.  There were no changes in either pituitary or plasma MSH suggesting that either the type or degree of stress was not adequate to stimulate MSH secretion.",National Aeronautics and Space Administration (NASA),Endocrinology,,,5,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Space weightlessness and hormonal changes in human subjects and experimental animals | Dichotomy Between Bioassayable and Immunoassayable Growth Hormone | Reduction in Plasma Vasopressin Levels of Dehydrated Rats Following Acute Stress | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-148,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,direct,keyword,
OS-149,Killifish Development in Zero-G on Cosmos 782,"The Fundulus embryogenesis experiment was the third in a series of experiments to assess the possible effects of the space environment upon developing organisms.  On the Skylab-3 and Apollo-Soyuz missions, juvenile fish initially exhibited obvious disorientation reactions (swimming rapidly in loops and circles), but over a period of several days in orbit, they gradually adapted to weightlessness and to dependence on visual cues, while space-hatched fry exhibited no disorientation.  The major refinement in this experiment is the use of a 1 g control centrifuge.","Experimental treatment groups of 500 embryos were comprised of groups of 100 eggs from the each of the five nominal developmental stages.  Specimens were kept in Polyethylene bags each containing fifty embryos of a given age and 23 ml sterile filtered 21% Instant Ocean. Treatments included flight stationary, an onboard 1 g centrifuge, and various ground control experiments.  The primary data yielded by the experiment was in the form of fixed material for light and electron microscopic analysis, focusing on the vestibular and other sensory regions.  Light orientation, rotating striped drum, and geotaxis tests were employed postflight.","Postflight testing of procedures and materials indicates that the probable cause of the high incidence of anomalous development lies in the tape used to label the plastic bags.  All morphologically normal hatchlings though, exhibited a typical fright-diving response and there were no apparent differences among treatments with respect to the diving response.  Likewise, behavioral testing ascertained that development in weightlessness of Fundulus, from the earliest exposure achievable, has no radical effect upon the vestibular function.  Microscopic observations indicated a generally better health in flight animals, with the possible exceptions of those aspects of development in which gravity is required as a cue for establishment of polarity or as a reference stimulus for sensory development.",National Aeronautics and Space Administration (NASA),Developmental biology,,,4,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Support of ASTP/ Kosmos Fundulus Embryo Development Experiment: Final Report | Killifish Hatching and Orientation Experiment MA-161 | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-149,True,Neurological diseases; Mental health,Neurological diseases,direct,keyword,
OS-150,Effect of Spaceflight on Cell-Mediated Immunity,"It has been demonstrated that cell-mediated immune reactions in mammals are thymus-dependent, and that thymus-derived or thymus-dependent lymphocytes (T-cells) are responsible for the reactions of cellular immunity.  Rats flown in Cosmos 605 have shown changes in the size of thymus and spleen, suggesting that space flight might have a noticeable effect on the cellular aspect of immune responsiveness.  This study examined the effect of space flight on cell-mediated immunity by examining rats infected with Listeria monocytogen.","Both flight and control groups were immunized with 106 formalin-killed Listeria suspended in Freund's Complete Adjuvant five days prior to flight.  Following recovery, lymphocyte cultures were prepared from spleens of all rats, and cultured in vitro in the presence of Listeria antigens, phytohemagglutinin, concanavalin A, and purified protein derivative (PPD) and measured for their uptake of 3H-thymidine.  The uptake of 3H-thymidine by the lymphocytes of immunized flight rats in the presence of specific antigen, was compared with those of immunized ground controls.  A Student's T test was used to assess the significance of the data.","The lymphocytes of all rats gave a blastogenic response to phytohemagglutinin and concanavalin A.  Although individual rats varied considerably, all flight and immunized control rats gave a blastogenic response to the Listeria antigens and PPD.  With several mitogens the lymphocytes of flight rats showed a significantly increased response over the controls.  If indeed the increased immune response to PPD in space can be confirmed, it suggests a practical application of the space environment for immunotherapy of tumors.  Thus, the data do not support a hypothesis of detrimental effect of space flight on cell-mediated immunity, even suggesting an opposite effect.",National Aeronautics and Space Administration (NASA),"Immunology
Radiation biology",,,5,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Immunity to Candida Albicans Induced by Listeria Monocytogenes | Effect of Spaceflight on Cell-Mediated Immunity | Immune Changes in Test Animals During Spaceflight | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-150,True,Cancer; Rare inherited disorders,Cancer,direct,ai,
OS-151,Results of Histological Examination of Inguinal Lymph Nodes,"This study examined the effect of space flight on cell-mediated immunity by examining the inguinal lymph nodes of rats infected with a formalin killed culture of Listeria monocytogenes suspended in Complete Freund's Adjuvant prior to flight.  Supplementing a larger study, this experiment attempts to obtain more information on how weightlessness affects cells responsible for the development of a specific immunity.","Inguinal lymph nodes of all rats were received in neutral 10% formalin.  They were processed for paraffin embedding, and sections 6 µm thick were stained with hematoxylin and eosin, pyronin-methyl green, and picrofuchsin.  Six of the rats were from the vivarium control group (normal laboratory conditions), six were of the synchronous control group (simulated flight), and six were of the flight group.","The most outstanding differences between the flight and ground control groups were: 1) marked, widespread depletion of lymphocytes resulting in much larger pale zones than in controls and 2) the occurrence of numerous foci of pyknotic and necrotic cells together with variable amounts of dust-like debris.  The striking increase in the number of necrotic cells, together with evidence of phagocytosis of some cellular debris, is thought to be due to the multitude of stressful conditions of prolonged space flight.  Precisely how the increased destruction of lymphoid cells fits with other experimental results must remain an open question for future studies.",National Aeronautics and Space Administration (NASA),Immunology,,,2,"Final Reports of the U.S. Experiments Flown on the Soviet Biosatellite Cosmos 782 (Bion 3) | Biological Studies on the Kosmos Biosatellites
Under the Editorship of Y. A.Il'yen and G.P. Parfenov",,,,"November 17, 2022",https://osdr.nasa.gov/geode-py/ws/api/experiment/OS-151,True,Cancer; Rare inherited disorders; Endocrine and metabolic diseases,Cancer,indirect,ai,
