nct_id,title,status,phase,conditions,interventions,lead_sponsor,start_date,disease_areas,url
NCT04028752,OR-DRPD-SRI2019: A 3D Hydrogel Model to Assess Endothelial Cell-macrophage Interactions in Simulated Microgravity,WITHDRAWN,,Cardiovascular Diseases,Blood collected specifically for this study,University of Florida,2021-06,Cardiovascular diseases; Women's health; Mental health,https://clinicaltrials.gov/study/NCT04028752
NCT04289506,Validation of Molecular and Protein Biomarkers in Sepsis,UNKNOWN,,Sepsis; Cardiac Arrest; Pneumonia; Abdominal Sepsis; SIRS,mRNA expression,Public Health England,2020-02-25,Cardiovascular diseases; Kidney diseases; Mental health,https://clinicaltrials.gov/study/NCT04289506
NCT05493618,"A Phase II Study of Pembrolizumab, Belantamab and Dexamethasone in Patients With Triple Class Refractory Multiple Myeloma.",WITHDRAWN,"PHASE1, PHASE2","Multiple Myeloma, Refractory",Pembrolizumab; Belantamab mafodotin; Dexamethasone,Hackensack Meridian Health,2022-12,Cardiovascular diseases; Cancer,https://clinicaltrials.gov/study/NCT05493618
NCT02805413,Simultaneous Determination of Blood Pressure by Oscillometry and Photoplethysmography Compared to the Standard Inert Gas Rebreathing Technique,UNKNOWN,NA,BLOOD PRESSURE,Détermination and comparison of blood pressure,"University Hospital, Caen",2015-04,Cardiovascular diseases; Cancer,https://clinicaltrials.gov/study/NCT02805413
NCT01543867,Non-interventional Study of the Safety and Efficacy of Long-term Somatropin Treatment in Children (GrowthWIN II / GrowthWIN II SGA),COMPLETED,,Growth Hormone Disorder; Growth Hormone Deficiency in Children; Foetal Growth Problem; Small for Gestational Age; Genetic Disorder; Turner Syndrome; Growth Disorder; Idiopathic Short Stature,somatropin,Novo Nordisk A/S,2001-01,Cardiovascular diseases; Rare inherited disorders; Women's health; Endocrine and metabolic diseases,https://clinicaltrials.gov/study/NCT01543867
NCT03144492,Microgravity Effects on Co-cultured Vascular Cells Types,COMPLETED,,Microgravity Exposed Endothelial Cells,Blood volume collected specifically for this study,University of Florida,2017-05-26,Cardiovascular diseases,https://clinicaltrials.gov/study/NCT03144492
NCT02610205,Integrative Care at the Emergency Department,COMPLETED,,Emergency,caring touch,Fanny Airosa,2012-09,Cardiovascular diseases; Neurological diseases; Musculoskeletal diseases; Mental health,https://clinicaltrials.gov/study/NCT02610205
NCT00894387,"A Multicenter, Randomized, Double-blind, Parallel Group, Placebo-controlled Study to Evaluate the 6 Months Efficacy and Safety of Aliskiren Therapy on Top of Standard Therapy, on Morbidity and Mortality When Initiated Early After Hospitalization for Acute Decompensated Heart Failure",COMPLETED,PHASE3,Acute Decompensated Heart Failure; Congestive Heart Failure,Aliskiren; Placebo,Novartis Pharmaceuticals,2009-05,Cardiovascular diseases; Cancer; Neurological diseases,https://clinicaltrials.gov/study/NCT00894387
NCT04976192,"Study to Evaluate the Efficacy, Safety, Tolerability, and Immunogenicity of TEV-45779 Compared to XOLAIR (Omalizumab) in Patients With Chronic Idiopathic/Spontaneous Urticaria Who Remain Symptomatic Despite Antihistamine (H1) Treatment.",COMPLETED,PHASE3,Chronic Urticaria,TEV-45779; XOLAIR® Injection,Teva Pharmaceuticals USA,2021-08-30,Cardiovascular diseases; Rare inherited disorders,https://clinicaltrials.gov/study/NCT04976192
NCT03963856,MULTI-SYSTEM PHYSIOLOGIC RESPONSE TO VARYING LEVELS OF PARTIAL GRAVITY,COMPLETED,NA,Healthy Volunteers,parbolic flight,"University Hospital, Caen",2019-06-01,Cardiovascular diseases; Eye diseases,https://clinicaltrials.gov/study/NCT03963856
NCT01655979,Medium-term Bedrest Whey Protein (MEP),COMPLETED,NA,Countermeasure Evaluation,Whey Protein + Potassium bicarbonate; Control,DLR German Aerospace Center,2011-08,Cardiovascular diseases; Kidney diseases; Endocrine and metabolic diseases; Musculoskeletal diseases; Mental health,https://clinicaltrials.gov/study/NCT01655979
NCT01987570,Effect of Allopurinol Administration on the Prevention of Muscle Mass Loss in Subject Immobilized.,COMPLETED,PHASE3,Patients With Grade II Ankle Sprain,Allopurinol; Placebo,Instituto de Investigacion Sanitaria La Fe,2012-04,Cardiovascular diseases; Musculoskeletal diseases; Mental health,https://clinicaltrials.gov/study/NCT01987570
NCT07499167,BRAHMS: Bed Rest And HypoMetabolism Study Integrative Physiological Responses to 10 Days of Bedrest and Caloric Restriction: An Exploratory Pilot Study In 10 Healthy Men.,RECRUITING,NA,Microgravity; Caloric Restriction,head down bedrest and caloric restriction,Centre National d'Etudes Spatiales,2026-03-10,Cardiovascular diseases; Cancer; Neurological diseases; Eye diseases; Endocrine and metabolic diseases; Musculoskeletal diseases; Mental health,https://clinicaltrials.gov/study/NCT07499167
NCT06633692,Female Pelvic Blood Flow Under Simulated Microgravity,COMPLETED,NA,Uterine; Ovary; Microgravity; Blood Flow,Head down tilt (HDT),Ceren UNAL,2024-12-01,Cardiovascular diseases; Neurological diseases; Women's health; Musculoskeletal diseases,https://clinicaltrials.gov/study/NCT06633692
NCT00337714,"A Parallel, Randomized Multicenter Comparison of Triple Lumen Central Venous Catheters Impregnated With Silver Nanoparticles (AgTive®) Versus Conventional Catheters in Intensive Care Unit Patients",COMPLETED,PHASE4,Central Venous Catheter Related Infections,CVC impregnated with silver nanoparticles (AgTive®); CVC cannulation,Catholic University of the Sacred Heart,2006-07,Cardiovascular diseases; Cancer,https://clinicaltrials.gov/study/NCT00337714
NCT06295302,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase IIa Study to Explore the Efficacy, Safety, and Pharmacokinetic Profile of HWH486 in Adults With Chronic Spontaneous Urticaria(CSU)",UNKNOWN,PHASE2,Chronic Spontaneous Urticaria,HWH486; Placebo,"Hubei Biological Medicine Industrial Technology Institute Co., Ltd.",2023-12-13,Cardiovascular diseases,https://clinicaltrials.gov/study/NCT06295302
NCT07097337,Point of Care Fibrinogen Measurement in Trauma Patients in the Emergency Department,RECRUITING,,"Trauma Induced Coagulopathy; Trauma Coagulopathy; Fibrinogen Deficiency; Fibrinogen; Deficiency, Acquired; Massive Transfusion Protocol; Massive Hemorrhage",,Erasmus Medical Center,2025-11-01,Cardiovascular diseases; Eye diseases; Rare inherited disorders; Women's health,https://clinicaltrials.gov/study/NCT07097337
NCT06364059,A Comparative Analysis of Prognostic Factors for Functional Outcomes in Patients With Acute Subdural Hematoma,COMPLETED,,Acute Subdural Hematoma; Acquired Brain Injury,Decompressive craniectomy with evacuation of subdural hematoma,"Charles University, Czech Republic",2024-06-01,Cardiovascular diseases; Neurological diseases; Mental health,https://clinicaltrials.gov/study/NCT06364059
NCT06872762,Does Heat Stress Improve the Acute Metabolic and Cardiovascular Adaptations to Exercise,RECRUITING,NA,Exercise; Heat Strain; Control Condition,Exercise; Heat strain,Northern Arizona University,2025-03-01,Cardiovascular diseases; Neurological diseases; Eye diseases; Endocrine and metabolic diseases; Musculoskeletal diseases; Mental health,https://clinicaltrials.gov/study/NCT06872762
NCT02517177,Alterations in Autonomic Cardiovascular Control Induced at Partial G Forces,COMPLETED,NA,Healthy,Parabolic flight; Cardiovascular parameters measurements,"University Hospital, Caen",2011-06,Cardiovascular diseases; Musculoskeletal diseases,https://clinicaltrials.gov/study/NCT02517177
