osID,title,objectives,approach,results,sponsoringAgency,researchAreas,nasaPrograms,factors,publications_count,publication_titles,principal_investigator,pi_institution,all_people,releaseDate,source_url
SSRE-1KUNZ-PF,1KUNZ-PF,,,,Japan Aerospace Exploration Agency (JAXA),Technology Development and Demonstration,ISS Expedition 55/56,,1,"Mori H, Vera JD, Zhang W, St. Pierre L. United Nations activities for enhancing access to space. 36th Annual Small Satellite Conference, Logan, UT; 2022 August 7. 10.",,"University of Nairobi, Nairobi, Kenya",,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-2020-PRINT,2020 Print,,,,National Aeronautics and Space Administration (NASA),Educational and Cultural Activities,ISS Expedition 64,,0,,Michael Snyder,"Made In Space, Jacksonville, FL, United States",Michael Snyder,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-2D-NANOTEMPLATE,Production of Two Dimensional NanoTemplate in Microgravity,,,,Japan Aerospace Exploration Agency (JAXA),Physical Science,"ISS Expedition 23/24, 27/28, 29/30",,4,"Nonoyama T, Tanaka M, Inai Y, Higuchi M, Kinoshita T. Ordered nanopattern arrangement of gold nanoparticles on ß-Sheet peptide templates through nucleobase pairing. ACS Nano. 2011 August 23; 5(8): 6174-6183. DOI: 10.1021/nn200711x. | Nonoyama T, Tanaka M, Kinoshita T, Nagata F, Sato K, Kato K. Morphology control of calcium phosphate by mineralization on the ß-sheet peptide template. Chemical Communications. 2010; 46(37): 6983-6985. DOI: 10.1039/c0cc02012e. | Cai R, Zhao Y, Ogura K, Tanaka M, Kinoshita T, Cai Q. Self-assembled gels of amphiphilic sequential peptide in water and organic solvents. Chemistry Letters. 2011; 40(6): 617-619. DOI: 10.1246/cl.2011.617. | Tanaka M, Abiko S, Himeiwa T, Nakamura M, Koshikawa N, Kinoshita T. Two-dimensional self-assembly of amphiphilic peptide at the solid/water interface toward a facile method for metal nanoparticle alignment. Chemistry Letters. 2012; 41(10): 1221-1222. DOI: 10.1246/cl.2012.1221.",Takatoshi Kinoshita,"Brandenburg Technical University, Cottbus, Germany",Takatoshi Kinoshita,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3D-CARDIAC-ORGANOID-CULTURES,Studying the Effects of Microgravity on Cardiac Organoid Cultures,,,,National Aeronautics and Space Administration (NASA),Biology and Biotechnology,ISS Expedition 72,,0,,Binata Joddar,"Space Tango, Inc., Lexington, KY, United States",Binata Joddar,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3D-COLLOIDAL-CRYSTALS,Fabrication of Large 3D Colloidal Crystals in Space,,,,National Aeronautics and Space Administration (NASA),Physical Science,"ISS Expedition 74, 75",,0,,William Meyer,"Voyager Technologies, Denver, CO, United States",William Meyer,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3D-PRINTED-ANTENNA-FEEDHORN,On-Orbit Validation of Additive Manufacturing of High Frequency Microwave Components in Microgravity,,,,National Aeronautics and Space Administration (NASA),Technology Development and Demonstration,ISS Expedition 49/50,,0,,Barry Geldzahler,"NASA Johnson Space Center, Houston, TX, United States",Barry Geldzahler,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3D-PRINTING-IN-ZERO-G,3D Printing In Zero-G Technology Demonstration,,,,National Aeronautics and Space Administration (NASA),Technology Development and Demonstration,"ISS Expedition 41/42, 43/44, 47/48, 61/62",,7,"Snyder M, Dunn JJ, Gonzalez EG. Effects of microgravity on extrusion based additive manufacturing. AIAA Space 2013 Conference & Exposition, San Diego, CA; 2013 September 10-12. 6 pp. | Dunn JJ, Hutchison DN, Kemmer A, Ellsworth A, Snyder M, White WB, Blair BR. 3D Printing in Space: Enabling New Markets and Accelerating the Growth of Orbital Infrastructure. Space Studies Institute 14th Space Manufacturing Conference, Moffett Field, CA; 2010 October 31. 14pp. | Prater TJ, Bean QA, Beshears RD, Rolin TD, Werkheiser N, Ordonez EA, Ryan RM, Ledbetter III FE. Summary report on phase I results from the 3D Printing in Zero G technology demonstration mission, volume I. NASA Technical Publication; 2016 July. | Prater TJ, Bean QA, Werkheiser N, Grguel R, Beshears RD, Rolin TD, Huff T, Ryan RM, Ledbetter III FE, Ordonez EA. Analysis of specimens from phase I of the 3D Printing in Zero G Technology demonstration mission. Rapid Prototyping Journal. 2017 October 6; 23(6): 1212-1225. DOI: 10.1108/RPJ-09-2016-0142. | Prater TJ, Werkheiser N, Ledbetter III FE, Timucin DA, Wheeler KR, Snyder M. 3D Printing in Zero G technology demonstration mission: Complete experimental results and summary of related material modeling efforts. The International Journal of Advanced Manufacturing Technology. 2019 March 17; 101: 391-417. DOI: 10.1007/s00170-018-2827-7. | Prater TJ, Werkheiser N, Ledbetter III FE, Morgan K. In-Space Manufacturing at NASA Marshall Space Flight Center: A portfolio of fabrication and recycling technology development for the International Space Station. 2018 AIAA SPACE and Astronautics Forum and Exposition, Orlando, FL; 2018 September 17-19. 14 pp. DOI: 10.2514/6.2018-5364. | Prater TJ, Edmunsson J, Fiske M, Ledbetter III FE, Hill C, Meyyappan M, Roberts C, Huebner L, Hall P, Werkheiser N. NASA’s In-Space Manufacturing Project: Update on Manufacturing Technologies and Materials to Enable More Sustainable and Safer Exploration. 70th International Astronautical Congress 2019, Washington, DC; 2019 October 21-25. 14 pp.",,"NASA Marshall Space Flight Center, Huntsville, AL, United States",,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3D-VIT,3D Visual Training,,,,European Space Agency (ESA),Technology Development and Demonstration,"ISS Expedition 43/44, 45/46",,0,,Frank Nicolini,"European Space Agency, European Astronaut Centre (ESA/EAC), Cologne, Germany",Frank Nicolini,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3DA1-CAMCORDER,Panasonic 3D Camera,,,,National Aeronautics and Space Administration (NASA),Technology Development and Demonstration,"ISS Expedition 27/28, 29/30, 31/32, 33/34, 35/36, 37/38, 39/40, 43/44",,0,,RODNEY GRUBBS,"NASA Marshall Space Flight Center, Huntsville, AL, United States",RODNEY GRUBBS,,https://www.nasa.gov/mission/station/research-explorer/
SSRE-3DMM,Three-dimensional Microbial Monitoring (3DMM) of ISS Environment,,,,National Aeronautics and Space Administration (NASA),Biology and Biotechnology,"ISS Expedition 65, 69, 64",,0,,Kasthuri Venkateswaran,"Jet Propulsion Laboratory, Pasadena, CA, United States",Kasthuri Venkateswaran,,https://www.nasa.gov/mission/station/research-explorer/
