osID,title,tier,tier_label,health_related,disease_areas,primary_disease_area,nlp_classified,ai_classified,ai_confidence,nlp_mesh_evidence,classification_source
OS-118,Aim 1: Determine the effects of combined mechanical loading and zoledronate on skeletal structure and bone remodeling during simulated weightlessness,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-119,Aim 2: Demonstrate whether the methylation status of key bone remodeling gene promoters are modulated in response to various levels of mechanical loading during simulated spaceflight,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-144,Effects of Weightlessness on the Embryonic Development and Aging of Drosophila,2,Probable,True,Kidney diseases; Musculoskeletal diseases,Kidney diseases,False,True,0.9,,ai_high
OS-145,Cosmic Ray Effect on the Eyes of Rats Flown on Cosmos 782,2,Probable,True,Eye diseases,Eye diseases,False,True,0.9,,ai_high
OS-146,Absence of Gastric Ulceration in Rats After Flight on the Cosmos 782,2,Probable,True,Endocrine and metabolic diseases,Endocrine and metabolic diseases,False,True,0.9,,ai_high
OS-147,Alterations in Erythrocyte Survival Parameters in Rats After 19.5 Days Aboard Cosmos 782,2,Probable,True,Mental health,Mental health,False,True,0.9,,ai_high
OS-148,Effects of Spaceflight on Plasma and Glandular Concentrations of Pituitary Hormones,0,Not health-related,False,,,True,True,0.9,,none
OS-149,Killifish Development in Zero-G on Cosmos 782,1,Confirmed,True,Neurological diseases,Neurological diseases,True,True,0.9,D003221,nlp+ai
OS-150,Effect of Spaceflight on Cell-Mediated Immunity,1,Confirmed,True,Cancer,Cancer,True,True,0.85,D009369,nlp+ai
OS-151,Results of Histological Examination of Inguinal Lymph Nodes,2,Probable,True,Cancer; Rare inherited disorders; Endocrine and metabolic diseases,Cancer,False,True,0.7,,ai_high
OS-152,Histological Studies on the Tibial Bone of Rats in the 1975 Cosmos 782 Flight: I. Endochondral Osteogenesis; Medullary Bone Turnover,1,Confirmed,True,Musculoskeletal diseases; Neurological diseases,Musculoskeletal diseases,True,True,0.9,D020966,nlp+ai
OS-153,Histological Studies on the Tibial Bone of Rats in the 1975 Cosmos 782 Flight: II. Micrographic Study of the Cortical Bone,2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-154,"Mineralization in Teeth and Jaws, as Judged Radiographically, in the Rats of the Cosmos 782 Experiment",2,Probable,True,Musculoskeletal diseases,Musculoskeletal diseases,False,True,0.9,,ai_high
OS-155,Quantitative Analysis of Selected Bone Parameters,1,Confirmed,True,Musculoskeletal diseases,Musculoskeletal diseases,True,True,0.9,D010024,nlp+ai
OS-156,The Morphogenetic Responses of Cultured Totipotent Cells of Carrot at Zero Gravity,0,Not health-related,False,,,False,False,0.75,,none
