nct_id,osID,trial_title,experiment_title,link_strength,final_score,mesh_score,area_score,cosine_score,shared_mesh_ids,shared_areas
NCT02509390,SSRE-VENOUS-FLOW,"Hyperfibrinogenemia Within the First Days After Major Trauma : Kinetic, Functionality, Impact of Fibrinogen Replacement Therapy and Trauma, Thrombosis Risk",Spaceflight Thrombosis and Risk Factors,strong,0.7868,1.0,1.0,0.2894,D013927,Cardiovascular diseases
NCT03495128,OS-566,"Determination of the Time-course of Development of Insulin Resistance, and Associated Molecular and Muscular Adaptations, During Inactivity in 3 Days of Bed-rest",Pilot Study for the Life and Microgravity Spacelab Mission (LMS),strong,0.7846,1.0,0.8,0.4153,D009133,Cardiovascular diseases; Mental health; Musculoskeletal diseases; Neurological diseases
NCT05224635,OS-766,The PROspective Observational Vascular Injury Trial (PROOVIT),Vascular Health in Space: MicroRNAs in Microgravity,strong,0.7753,1.0,1.0,0.2509,D057772,Cardiovascular diseases
NCT04426812,OS-573,Measuring Chronic Pain Impact,Pathophysiology and Treatment of Spinal Pain Associated with Microgravity,strong,0.7734,1.0,1.0,0.2446,D010146,Neurological diseases
NCT04426812,SSRE-MICROGRAVITY-PAIN-SENSATION-AX-1,Measuring Chronic Pain Impact,Pain in Space,strong,0.7732,1.0,1.0,0.244,D010146,Neurological diseases
NCT07390643,SSRE-ENCAPSULATE-PERSONALIZED-CANCER-SOLUTIONS,Determining ImpactS of Multi-Cancer Early detectiOn Tests oVER Time in Symptomatic Patients: The DISCOVER Study,Encapsulate: Personalized Cancer Solutions,strong,0.7644,1.0,1.0,0.2146,D009369,Cancer
NCT04779866,OS-851,Feasibility of Self-Administered Hypnosis for Sleep Quality in Caregivers of Individuals With Alzheimer's Disease,Effects of Space Radiation on Long-Term Synaptic Plasticity and Neurogenesis in Normal and Alzheimer's Disease Transgenic Mice,strong,0.7611,1.0,1.0,0.2036,D000544,Mental health; Neurological diseases
NCT03195348,OS-566,The Effects of Whole Body Unloading on Physiological Function,Pilot Study for the Life and Microgravity Spacelab Mission (LMS),strong,0.7579,1.0,0.8,0.3263,D009133,Cardiovascular diseases; Mental health; Musculoskeletal diseases; Neurological diseases
NCT04426812,SSRE-MUSCLE,Measuring Chronic Pain Impact,Study of Low Back Pain in Crewmembers During Space Flight,strong,0.7532,1.0,1.0,0.1772,D010146,Neurological diseases
NCT07390643,SSRE-CANCER-IN-LOW-EARTH-ORBIT-3,Determining ImpactS of Multi-Cancer Early detectiOn Tests oVER Time in Symptomatic Patients: The DISCOVER Study,Cancer in LEO 3 (Ax-4),strong,0.7523,1.0,1.0,0.1743,D009369,Cancer
